기업 이름,유동자산(억),유동부채(억),순운전자본(억),시가총액(억),시총/순운전자본,12-20,12-21,수익률,,,
한국조선해양,130014.3,95115.3,71933.1,61714,85.79%,108500,94600,-12.81%,,,
한화,149537.7,156521.2,35808.1,23425,65.42%,28300,31400,10.95%,,,
현대위아,39879.7,19857.2,25572,17242,67.43%,53500,79900,49.35%,,,
LS,66922.2,43405.2,39160.1,16615,42.43%,71400,54100,-24.23%,,,
LX인터내셔널,31628.3,25183.1,13345.1,13295,99.62%,24700,26450,7.09%,,,
태광산업,16286.2,3719.2,15280.4,11635,76.14%,801000,1043000,30.21%,,,
HDC현대산업개발,47605.5,24740.4,28131.3,10051,35.73%,26100,22900,-12.26%,,시나리오1,27.25%
오리온홀딩스,9424.7,4381.9,8910.1,8833,99.13%,13200,15950,20.83%,,,
대상,13022.2,7815.2,10272.4,8177,79.60%,26050,23300,-10.56%,,,
영원무역홀딩스,21501,6488.2,24658.7,7895,32.02%,37750,46750,23.84%,,0.67 이하,12.06%
현대건설기계,22649.9,11565,18219.1,7063,38.77%,32750,40550,23.82%,,0.67 초과,45.94%
넥센타이어,12002.7,7667.5,6936.2,6280,90.54%,6190,6820,10.18%,,,
세아제강지주,11716.1,6707.4,6878.8,4991,72.56%,44550,103000,131.20%,,,
HDC,58301.9,33283.8,33145.8,4367,13.18%,11050,10450,-5.43%,,,
삼천리,12535.9,7305.2,10243.1,4298,41.96%,81400,90800,11.55%,,,
계룡건설,13519.4,10260.7,7010.5,3550,50.64%,28000,32600,16.43%,,,
대상홀딩스,15549.6,9422.8,12137.6,3563,29.36%,10200,9700,-4.90%,,,
한화,149537.7,156521.2,35808.1,23425,65.42%,28300,31400,10.95%,,,
에이프로젠제약,3365.2,86.7,3926.5,3360,85.57%,1315,905,-31.18%,,,
KISCO홀딩스,11362.9,1967.4,10738.1,3252,30.28%,14200,14550,2.46%,,,
에이프로젠 MED,4345,850.9,4460.3,3137,70.33%,2045,1685,-17.60%,,,
화승인더,7646.3,7132.9,3649.9,3186,87.29%,7130,6100,-14.45%,,,
케이씨,4349,1272.7,4508.8,2995,66.43%,27650,22850,-17.36%,,,
SNT홀딩스,12419.6,4614.4,11453.4,2772,24.20%,14900,17600,18.12%,,,
KPX케미칼,3542.3,936.7,3066.5,2638,86.03%,54900,53600,-2.37%,,,
KPX홀딩스,6526.8,2525.6,5399.8,2602,48.19%,60400,63500,5.13%,,,
넥센,13440.2,8490.8,8115,2369,29.19%,4630,4560,-1.51%,,,
삼영전자,3415.6,203.6,3442.4,2280,66.23%,10200,11400,11.76%,,,
삼양통상,3172.3,334.1,2920.7,1791,61.32%,62700,58000,-7.50%,,,
노루홀딩스,4849.3,3359.5,2744.6,1668,60.77%,10950,12750,16.44%,,,
강남제비스코,2010.9,685.8,2083.4,1628,78.14%,22000,24950,13.41%,,,
황금에스티,2399.9,1216,1700.1,1525,89.70%,8080,8450,4.58%,,,
샘표,1762.5,560.4,1517.8,1380,90.92%,49000,42650,-12.96%,,,
HDC현대EP,3409,1557.8,2614.8,1531,58.55%,6620,5950,-10.12%,,,
휴스틸,2614.5,1248.4,1795.8,1415,78.79%,7290,14550,99.59%,,,
세아특수강,3680.8,1881.7,2055.7,1371,66.69%,11800,15750,33.47%,,,
기신정기,1377.9,132.8,1511,1345,89.01%,3635,4240,16.64%,,,
신영와코루,1783.6,455.2,1974.4,1318,66.75%,104500,118500,13.40%,,,
대창단조,1716.4,345.7,1693.9,1314,77.57%,6940,7900,13.83%,,,
만호제강,1531.4,145.2,1438.9,1150,79.92%,17500,23050,31.71%,,,
지투알,4891.2,3772.2,1811.6,1110,61.27%,5700,7050,23.68%,,,
동방아그로,1390.1,333.5,1547.6,1040,67.20%,6400,7270,13.59%,,,
KTcs,2899,1757,1896.4,1018,53.68%,2215,2585,16.70%,,,
동일고무벨트,1504.2,593,1419.1,1012,71.31%,9860,7530,-23.63%,,,
우성,1783.7,1232.2,945.3,908,96.05%,3000,28000,833.33%,,,
한국전자홀딩스,1912.5,955.7,1390.6,906,65.15%,937,2180,132.66%,,,
참엔지니어링,4683.2,947.4,3954.9,861,21.77%,1480,1280,-13.51%,,,
SJM,1472.4,325.4,1697.9,731,43.05%,3295,4900,48.71%,,,
미래아이앤지,598.2,17.2,1122.9,637,56.73%,394,470,19.29%,,,
SJM홀딩스,1751.4,394.4,1968,608,30.89%,3050,3735,22.46%,,,
원림,985.5,314.5,762.9,512,67.11%,19700,19300,-2.03%,,,
경인전자,454.7,25.3,680.2,503,73.95%,25050,36800,46.91%,,,
대상,13022.2,7815.2,10272.4,8177,79.60%,26050,23300,-10.56%,,,
넥센타이어,12002.7,7667.5,6936.2,6280,90.54%,6190,6820,10.18%,,,
한화,149537.7,156521.2,35808.1,23425,65.42%,28300,31400,10.95%,,,
넥센,13440.2,8490.8,8115,2369,29.19%,4630,4560,-1.51%,,,
대상홀딩스,15549.6,9422.8,12137.6,3563,29.36%,10200,9700,-4.90%,,,
노루홀딩스,4849.3,3359.5,2744.6,1668,60.77%,10950,12750,16.44%,,,
,,,,,,,,,,,
합계,,,,,,,,27.25%,,,
